Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,385540224628.292
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9.94323513446069
Argentina,ARG,GNI (current US$),NY.GNP.MKTP.CD,375535785072.697
Argentina,ARG,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-8.65514311084952
Argentina,ARG,Consumer price index (2010 = 100),FP.CPI.TOTL,..
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,13.6089274859868
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,16.6108723998011
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,42
Argentina,ARG,"Labor force, total",SL.TLF.TOTL.IN,19406591
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.460000038147
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1326901059123.21
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.0508853360838941
Australia,AUS,GNI (current US$),NY.GNP.MKTP.CD,1297066630915.67
Australia,AUS,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Australia,AUS,Consumer price index (2010 = 100),FP.CPI.TOTL,120.811654526535
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.846905537459293
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Australia,AUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,20.2251510630871
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,24.0082830210698
Australia,AUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Australia,AUS,"Labor force, total",SL.TLF.TOTL.IN,13590200
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.46000003814697
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1448559976218.19
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.87867633397198
Brazil,BRA,GNI (current US$),NY.GNP.MKTP.CD,1417763933368.25
Brazil,BRA,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-3.33890483132726
Brazil,BRA,Consumer price index (2010 = 100),FP.CPI.TOTL,172.774291252888
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.21176803803379
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Brazil,BRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,16.0953836716373
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,16.7950684328172
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Brazil,BRA,"Labor force, total",SL.TLF.TOTL.IN,96675660
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,13.6999998092651
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,14687673892882
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.23970185692298
China,CHN,GNI (current US$),NY.GNP.MKTP.CD,14570068687688.4
China,CHN,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,1.71274028228892
China,CHN,Consumer price index (2010 = 100),FP.CPI.TOTL,128.109443605623
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.4194218945778
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
China,CHN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,16.1681565370193
China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.5861392390289
China,CHN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,0
China,CHN,"Labor force, total",SL.TLF.TOTL.IN,789480186
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.6100001335144
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2639008701648.26
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-7.78458649167871
France,FRA,GNI (current US$),NY.GNP.MKTP.CD,2679986129252.93
France,FRA,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-8.3141644196734
France,FRA,Consumer price index (2010 = 100),FP.CPI.TOTL,110.572946910908
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.476498852725083
France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
France,FRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,29.4135952484106
France,FRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.4502276377653
France,FRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
France,FRA,"Labor force, total",SL.TLF.TOTL.IN,30379166
France,FRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.01000022888184
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3889668895299.62
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.69678870538043
Germany,DEU,GNI (current US$),NY.GNP.MKTP.CD,4004193472555.65
Germany,DEU,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-4.07078068367294
Germany,DEU,Consumer price index (2010 = 100),FP.CPI.TOTL,113.426711646605
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.506689889953274
Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Germany,DEU,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,37.3851760276969
Germany,DEU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,43.0131290321633
Germany,DEU,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,15.8
Germany,DEU,"Labor force, total",SL.TLF.TOTL.IN,44182576
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.85999989509583
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2667687951796.5
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-6.59608052232176
India,IND,GNI (current US$),NY.GNP.MKTP.CD,2631758361545.3
India,IND,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-6.96827414002354
India,IND,Consumer price index (2010 = 100),FP.CPI.TOTL,182.988822584425
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.62343677628532
India,IND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
India,IND,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,19.0964548921918
India,IND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.7088986865588
India,IND,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
India,IND,"Labor force, total",SL.TLF.TOTL.IN,463517213
India,IND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1058688935454.78
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.06500494092904
Indonesia,IDN,GNI (current US$),NY.GNP.MKTP.CD,1030410290694.06
Indonesia,IDN,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-1.65035343796622
Indonesia,IDN,Consumer price index (2010 = 100),FP.CPI.TOTL,154.080730631506
Indonesia,IDN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.92096800566845
Indonesia,IDN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Indonesia,IDN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,15.7041742336216
Indonesia,IDN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.2714213388682
Indonesia,IDN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,9.8
Indonesia,IDN,"Labor force, total",SL.TLF.TOTL.IN,136026106
Indonesia,IDN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.25
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1896755301518.14
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9.03995341122885
Italy,ITA,GNI (current US$),NY.GNP.MKTP.CD,1920487395391.45
Italy,ITA,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-8.66366568857514
Italy,ITA,Consumer price index (2010 = 100),FP.CPI.TOTL,110.471258578492
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.13770757391657
Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Italy,ITA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,25.8430488731507
Italy,ITA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.4432373327238
Italy,ITA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,20.1
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,25126336
Italy,ITA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.15999984741211
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,5040107754084.11
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.50690454226634
Japan,JPN,GNI (current US$),NY.GNP.MKTP.CD,5222887209516.97
Japan,JPN,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-4.7336292821641
Japan,JPN,Consumer price index (2010 = 100),FP.CPI.TOTL,105.457901212867
Japan,JPN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.0249958340276592
Japan,JPN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Japan,JPN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,15.8001573523187
Japan,JPN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,15.5585542763298
Japan,JPN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Japan,JPN,"Labor force, total",SL.TLF.TOTL.IN,68953988
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.79999995231628
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1644312831906.17
"Korea, Rep.",KOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.709415359397681
"Korea, Rep.",KOR,GNI (current US$),NY.GNP.MKTP.CD,1658668665990.32
"Korea, Rep.",KOR,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-0.696672244414373
"Korea, Rep.",KOR,Consumer price index (2010 = 100),FP.CPI.TOTL,115.777367840135
"Korea, Rep.",KOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.537288023411772
"Korea, Rep.",KOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
"Korea, Rep.",KOR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,32.6744545418102
"Korea, Rep.",KOR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,36.359590549146
"Korea, Rep.",KOR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
"Korea, Rep.",KOR,"Labor force, total",SL.TLF.TOTL.IN,28597159
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.9300000667572
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1090515389749.41
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-7.98791234014749
Mexico,MEX,GNI (current US$),NY.GNP.MKTP.CD,1054822088096.21
Mexico,MEX,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-8.31960364653705
Mexico,MEX,Consumer price index (2010 = 100),FP.CPI.TOTL,146.350487735058
Mexico,MEX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.39683415569999
Mexico,MEX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Mexico,MEX,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,37.4232092321933
Mexico,MEX,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,39.4771444787025
Mexico,MEX,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,43.9
Mexico,MEX,"Labor force, total",SL.TLF.TOTL.IN,52220676
Mexico,MEX,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.44999980926514
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,909793466661.481
Netherlands,NLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.88608391819609
Netherlands,NLD,GNI (current US$),NY.GNP.MKTP.CD,880056390964.983
Netherlands,NLD,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-5.09778593981544
Netherlands,NLD,Consumer price index (2010 = 100),FP.CPI.TOTL,117.382878251613
Netherlands,NLD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.2724603778917
Netherlands,NLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Netherlands,NLD,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,68.1963014575722
Netherlands,NLD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,78.2654765043376
Netherlands,NLD,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,14.4
