Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Australia,AUS,"Population, total",SP.POP.TOTL,17065128,19028802,22733465,23128129,23475686,23815995,24190907,24594202,24966643,25340217,25655289,25688079
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.480046937,1.144472851,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.653390535,1.502992982,1.485208447,1.23570108,0.127728296
Australia,AUS,Surface area (sq. km),AG.SRF.TOTL.K2,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,..
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,2.221356625,2.476966794,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.197365841,3.245784982,3.294351419,3.335312311,..
Australia,AUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,0.5,..,0.5,..,0.5,..,..,..
Australia,AUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2.95978E+11,4.05004E+11,1.37006E+12,1.52769E+12,1.53025E+12,1.44051E+12,1.30821E+12,1.2663E+12,1.3257E+12,1.3913E+12,1.37574E+12,1.46849E+12
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,17340,21280,60270,66050,65180,60490,54080,51490,53100,54900,53620,57170
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2.86148E+11,4.90326E+11,9.44457E+11,1.03536E+12,1.07186E+12,1.07915E+12,1.11611E+12,1.15806E+12,1.21393E+12,1.26904E+12,1.33814E+12,1.42974E+12
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,16770,25770,41540,44770,45660,45310,46140,47090,48620,50080,52160,55660
