country_name,Year,urbanization,gdp_per_cap,inflation,gdp_current,unemployment,literacy_adult,health_exp,literacy_youth,life_exp,re_consumption,ff_consumption,energy_use
Kuwait,1974,88.579,12620.7748607048,12.9926108375187,13004774556.6166,4848008904.942702,4848008904.942702,4848008904.942702,4848008904.942702,67.93,4848008904.942702,99.8812103973491,6610.90073425942
Luxembourg,1978,78.975,13034.3882079614,3.09466077424648,4718539771.99949,7635862907.511195,7635862907.511195,7635862907.511195,7635862907.511195,71.4958048780488,7635862907.511195,93.8330240928732,11096.0036684373
Sweden,1978,82.944,12620.5186141512,9.99526541717738,104442351222.751,7635862907.511195,7635862907.511195,7635862907.511195,7635862907.511195,75.4690243902439,7635862907.511195,64.3736331348678,5016.74041963609
Denmark,1979,83.448,13751.998948016,9.61105037907119,70366241969.2074,6.09999990463257,8758625269.926147,8758625269.926147,8758625269.926147,74.2192682926829,8758625269.926147,96.1169683972957,4020.03654236309
Iceland,1979,87.955,12640.6408128355,44.4444558043744,2853435053.88542,8758625269.926147,8758625269.926147,8758625269.926147,8758625269.926147,76.7731707317073,8758625269.926147,42.5507436371141,6515.05969388885
Kuwait,1979,93.928,17522.2086610476,7.04999999925009,24746019536.903,8758625269.926147,8758625269.926147,8758625269.926147,8758625269.926147,69.677,8758625269.926147,99.9717887315449,7384.2017013792
Luxembourg,1979,79.513,15204.3308191994,4.54652779042167,5516982663.73143,8758625269.926147,8758625269.926147,8758625269.926147,8758625269.926147,72.3307804878049,8758625269.926147,93.1882905742585,10458.112860198
Netherlands,1979,64.435,12798.5432457441,4.19929990168351,179669405690.432,6.15999984741211,8758625269.926147,8758625269.926147,8758625269.926147,75.6060975609756,8758625269.926147,98.2936760515837,4868.63559398701
Norway,1979,70.081,13046.5372210653,4.50972761206205,53132244623.9213,1.99000000953674,8758625269.926147,8758625269.926147,8758625269.926147,75.4139024390244,8758625269.926147,57.1711753744162,4467.1936298854
Sweden,1979,83.016,14877.1642883549,7.20978617047807,123386410160.715,8758625269.926147,8758625269.926147,8758625269.926147,8758625269.926147,75.5241463414634,8758625269.926147,65.8912631127779,5229.61827068762
Belgium,1980,95.381,12864.0025661396,6.64868829655357,126829314388.191,9.10000038146973,9466425743.475744,9466425743.475744,9466425743.475744,73.2070731707317,9466425743.475744,93.3178152605069,4743.42206023546
Denmark,1980,83.723,13883.8871432732,12.3053240760182,71127528699.9414,7.0,9466425743.475744,9466425743.475744,9466425743.475744,74.1017073170732,9466425743.475744,97.1671591958796,3735.14408571339
Iceland,1980,88.26,14821.8150912707,58.5284260893647,3381419251.29231,9466425743.475744,9466425743.475744,9466425743.475744,9466425743.475744,76.8465853658537,9466425743.475744,39.5980660242796,6560.99816777565
Kuwait,1980,94.781,19170.7113065026,6.9282266856319,28638550499.4451,9466425743.475744,67.5176620483398,9466425743.475744,78.9754409790039,70.341,9466425743.475744,99.9648068134162,6997.74946949868
Luxembourg,1980,80.042,16531.1148988397,6.29990006244593,6019805490.41247,9466425743.475744,9466425743.475744,9466425743.475744,9466425743.475744,72.2068048780488,9466425743.475744,92.306933761191,9774.65055608952
Netherlands,1980,64.745,13791.8622639458,6.51345545521795,195152092662.381,9466425743.475744,9466425743.475744,9466425743.475744,9466425743.475744,75.7431707317073,9466425743.475744,97.9878819471358,4548.82478904295
Norway,1980,70.545,15772.2409073814,10.8786610878661,64439382896.0156,1.64999997615814,9466425743.475744,9466425743.475744,9466425743.475744,75.6717073170732,9466425743.475744,57.8479939080956,4491.90698107019
Qatar,1980,89.363,28218.0378917672,6.79999999900016,7829094613.07082,9466425743.475744,9466425743.475744,9466425743.475744,9466425743.475744,70.801,9466425743.475744,100.0,11936.500270319
Saudi Arabia,1980,65.86,16176.4008507923,4.16926655363288,164541658298.013,9466425743.475744,9466425743.475744,9466425743.475744,9466425743.475744,62.698,9466425743.475744,99.9952701652053,3057.54411008572
Sweden,1980,83.087,17097.8326512095,13.7063223649004,142092068280.689,9466425743.475744,9466425743.475744,9466425743.475744,9466425743.475744,75.7409756097561,9466425743.475744,60.1257136341859,4871.53323897113
Switzerland,1980,74.477,19410.1893547743,4.0225008483901,122660905890.076,0.200000002980232,9466425743.475744,9466425743.475744,9466425743.475744,75.4592682926829,9466425743.475744,68.4005567933177,3170.57547162646
Brunei Darussalam,1981,65.099,22494.7776628235,9.13705583756339,4366213849.57637,7.84000015258789,77.7354965209961,9779535653.4469,93.6810073852539,69.54,9779535653.4469,99.3312171755064,6695.16586896378
Denmark,1981,83.915,12081.8010496077,11.7673874344182,61877813965.2413,9.19999980926514,9779535653.4469,9779535653.4469,9779535653.4469,74.2304878048781,9779535653.4469,92.8037631956097,3381.43445020396
Iceland,1981,88.533,15137.2538408683,51.7932416010108,3492997010.04956,9779535653.4469,9779535653.4469,9779535653.4469,9779535653.4469,76.5214634146341,9779535653.4469,33.8214734147873,7178.86936361076
Kuwait,1981,95.67,15928.9625005738,7.37478159583809,25056672166.4275,9779535653.4469,9779535653.4469,9779535653.4469,9779535653.4469,71.081,9779535653.4469,99.9642750916986,6546.7048859968
Luxembourg,1981,80.444,13837.1299814617,8.07294375934599,5053665797.47936,9779535653.4469,9779535653.4469,9779535653.4469,9779535653.4469,72.369756097561,9779535653.4469,90.9439285890912,8526.03737422137
Norway,1981,70.787,15512.5067043575,13.6429608127721,63596654760.8677,2.02999997138977,9779535653.4469,9779535653.4469,9779535653.4469,75.8690243902439,9779535653.4469,54.8430978345514,4414.96406324167
Qatar,1981,89.514,29371.4669135508,8.52059925101626,8661263763.73626,9779535653.4469,9779535653.4469,9779535653.4469,9779535653.4469,71.304,9779535653.4469,9779535653.4469,14060.8775564877
Saudi Arabia,1981,67.281,17258.6858199995,2.79898218829487,184291888768.662,9779535653.4469,9779535653.4469,9779535653.4469,9779535653.4469,63.472,9779535653.4469,99.989564706196,3962.11912276317
Sweden,1981,83.1,15586.4300780047,12.1039385302599,129686938223.328,9779535653.4469,9779535653.4469,9779535653.4469,9779535653.4469,76.0260975609756,9779535653.4469,55.1498036270827,5097.15446289726
Switzerland,1981,74.466,17679.8688671472,6.49030964005712,112339195092.149,0.200000002980232,9779535653.4469,9779535653.4469,9779535653.4469,75.6931707317073,9779535653.4469,65.7967037230087,3093.32327574403
Australia,1982,85.67,12778.855250056,11.3518197573657,194037294494.097,7.15999984741211,9773556623.101154,9773556623.101154,9773556623.101154,74.9048780487805,9773556623.101154,92.9254455862167,4815.50754541862
Brunei Darussalam,1982,65.249,21254.3106038409,6.35658914728686,4264252336.4486,6.55000019073486,9773556623.101154,9773556623.101154,9773556623.101154,69.841,9773556623.101154,99.4291861590348,6963.70433135623
Iceland,1982,88.8,13711.7362718597,50.243226389676,3206626644.5371,9773556623.101154,9773556623.101154,9773556623.101154,9773556623.101154,77.0378048780488,9773556623.101154,29.8067730937455,7076.20798768494
Kuwait,1982,96.414,13054.4519490399,7.77679842690851,21577977770.059,9773556623.101154,9773556623.101154,9773556623.101154,9773556623.101154,71.498,9773556623.101154,99.9679096732753,6935.91163764027
