country_name,Year,urbanization,gdp_per_cap,inflation,gdp_current,unemployment,literacy_adult,health_exp,literacy_youth,life_exp,re_consumption,ff_consumption,energy_use
Canada,1971,76.09,4520.1628781257,2.70491803278688,99271961774.6088,6.40000009536743,3042832806.7755327,3042832806.7755327,3042832806.7755327,73.0292682926829,3042832806.7755327,84.1541542986894,6436.22625629541
Algeria,1971,39.665,359.82458217668,2.62664165105633,5077222366.97472,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,43.67,3042832806.7755327,98.9998155557243,245.527601844075
Australia,1971,84.16,3494.97330953499,6.13810741687979,45214469705.4541,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,71.0682926829268,3042832806.7755327,91.1777751858804,3989.6297441447
Austria,1971,65.301,2380.97845801742,4.704258138287,17858486066.7474,1.5,3042832806.7755327,3042832806.7755327,3042832806.7755327,70.1146341463415,3042832806.7755327,90.1996936930923,2508.5209190556
Belgium,1971,93.976,3082.92798879126,4.34362854612099,29821661869.912,2.09999990463257,3042832806.7755327,3042832806.7755327,3042832806.7755327,71.0604878048781,3042832806.7755327,3042832806.7755327,4099.95531967727
Bolivia,1971,40.082,233.694645723653,3.67461430575034,1095622895.6229,9.0,3042832806.7755327,3042832806.7755327,3042832806.7755327,47.061,3042832806.7755327,73.3669986165489,217.7000584651
Cameroon,1971,21.584,186.641900752521,4.01402961809855,1236941200.95222,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,48.251,3042832806.7755327,9.00709969816543,406.676122432043
Chile,1971,75.883,1090.11445220707,20.0522312040536,10884114754.0984,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,62.732,3042832806.7755327,79.2179111384754,871.756558095056
Colombia,1971,57.39,365.345951070262,11.9402616979216,7820380970.53674,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,62.051,3042832806.7755327,63.938178141583,647.113652981141
"Congo, Dem. Rep.",1971,24.847,270.109753514682,5.77734982596516,5594770359.28144,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,43.656,3042832806.7755327,12.2748199450421,322.452009737675
Costa Rica,1971,39.445,565.290378565387,3.08304841408707,1077152902.29104,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,66.301,3042832806.7755327,58.2839632530665,424.045624056015
Cote d'Ivoire,1971,28.934,277.000367745801,-0.443745436275732,1584128262.08933,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,44.992,3042832806.7755327,33.2285777133267,429.26684603786
Denmark,1971,80.239,3845.50608879175,5.86986959071901,19085731252.4407,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,73.4146341463415,3042832806.7755327,99.1318225943362,3728.53802220617
Dominican Republic,1971,41.351,362.295131505632,3.58002889678133,1666500000.0,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,56.782,3042832806.7755327,48.2182766512958,508.83737068303
Ecuador,1971,39.813,433.671004346013,8.38402539015844,2754220263.02528,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,57.633,3042832806.7755327,49.0576134134015,352.219607037946
"Egypt, Arab Rep.",1971,41.838,242.133278552616,3.14042171394198,8609283346.08518,1.82000005245209,3042832806.7755327,3042832806.7755327,3042832806.7755327,50.386,3042832806.7755327,86.0830515985032,219.352649339974
El Salvador,1971,39.544,319.88047497175,0.445808667692474,1186120000.0,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,52.241,3042832806.7755327,28.3742510749076,472.493601689316
Finland,1971,64.523,2716.19009222861,6.47576543061844,12527405512.9298,2.25999999046326,3042832806.7755327,3042832806.7755327,3042832806.7755327,70.0175609756098,3042832806.7755327,71.3459888276889,3939.2110879933
France,1971,71.459,3180.3374404808,5.3975186559511,165966615366.402,2.67000007629395,3042832806.7755327,3042832806.7755327,3042832806.7755327,71.9073170731707,3042832806.7755327,89.9214324749079,3038.61861505543
Gabon,1971,34.082,626.031581553483,3.86326089701567,381687073.052087,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,53.073,3042832806.7755327,54.5627452793791,1755.7410040791
Ghana,1971,29.174,265.357347881173,9.55882353746773,2417107708.25317,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,47.798,3042832806.7755327,21.9975323944151,328.956760646042
Greece,1971,64.951,1652.32595586747,3.28947072230335,14591750000.0,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,73.0095609756098,3042832806.7755327,92.2033101763602,984.042076150522
Guatemala,1971,35.861,355.090371107723,-0.453591880763762,1984800000.0,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,50.484,3042832806.7755327,29.2830418308795,489.217314484156
Haiti,1971,20.222,76.1157790653494,9.57958328225631,362800000.0,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,47.719,3042832806.7755327,8.40036001637888,315.619490758584
Honduras,1971,29.569,254.925804733808,2.22324794223761,731000000.0,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,54.966,3042832806.7755327,27.1354939027024,484.442725564873
Iceland,1971,85.269,3252.09917788448,6.73187452980987,670251136.363636,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,73.5704878048781,3042832806.7755327,53.1285150843177,4378.31031839222
India,1971,19.991,118.159798506575,3.07993868406547,67350988021.3932,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,48.632,3042832806.7755327,35.1197934323141,266.347982347441
Indonesia,1971,17.338,78.8657567396482,4.23374894488334,9333536359.74431,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,53.576,3042832806.7755327,24.6765538776127,296.132948212054
"Iran, Islamic Rep.",1971,42.11,469.083512080606,4.19529837265424,13731801564.0908,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,51.124,3042832806.7755327,97.727346518635,567.091594422594
Iraq,1971,57.214,380.637512609983,3.59589041076036,3865346534.65347,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,60.909,3042832806.7755327,99.0728012057494,395.416688331025
Ireland,1971,52.269,1703.93218277317,8.96174863417671,5098250287.46646,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,71.6758536585366,3042832806.7755327,79.7917274475598,2245.32344045053
